id,user_id,date,steps,calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood
23,1,2023-01-20,17979,1816.34,17.51,241,8.2,76,Gym Workout,Rain,Other,Happy
24,1,2023-01-22,345,3939.44,5.95,682,1.3,148,Yoga,Fog,Other,Happy
25,1,2023-01-25,26014,2392.63,12.35,737,2.0,103,Gym Workout,Fog,Gym,Neutral
26,1,2023-01-26,9391,3629.31,3.59,1439,2.8,167,Gym Workout,Rain,Gym,Stressed
27,1,2023-01-28,14922,2792.64,4.73,667,3.7,93,Running,Fog,Office,Stressed
28,1,2023-01-28,16992,2838.31,16.1,1242,10.9,153,Running,Clear,Gym,Happy
29,1,2023-01-29,5810,2049.39,0.55,1296,1.0,159,Swimming,Snow,Gym,Tired
30,1,2023-01-29,5935,2188.16,10.06,388,6.1,73,Yoga,Clear,Office,Happy
31,1,2023-01-29,789,1873.69,11.87,1115,11.3,161,Walking,Clear,Other,Happy
32,1,2023-01-30,25847,3341.01,9.44,1190,11.8,65,Cycling,Fog,Office,Happy
33,1,2023-02-01,8997,2666.76,9.49,545,4.2,166,Cycling,Fog,Park,Stressed
34,1,2023-02-03,15758,1747.92,6.11,1422,2.4,127,Gym Workout,Rain,Other,Neutral
35,1,2023-02-06,22510,3714.4,10.28,904,11.7,130,Gym Workout,Rain,Home,Stressed
36,1,2023-02-08,16511,2078.84,9.13,731,11.3,76,Walking,Snow,Park,Stressed
37,1,2023-02-08,7742,3807.51,5.5,777,6.7,177,Gym Workout,Clear,Home,Neutral
38,1,2023-02-09,16079,3729.62,9.39,213,5.7,179,Yoga,Rain,Office,Tired
39,1,2023-02-09,24961,2515.4,5.22,723,8.7,114,Running,Snow,Other,Tired
40,1,2023-02-10,20142,2153.5,4.35,869,4.3,167,Swimming,Rain,Other,Tired
41,1,2023-02-11,20482,2278.76,18.2,872,1.1,156,Running,Clear,Home,Stressed
42,1,2023-02-11,15443,1790.1,15.03,1378,1.7,138,Running,Clear,Home,Happy
43,1,2023-02-11,4573,3375.94,7.5,1378,2.7,169,Gym Workout,Rain,Other,Neutral
44,1,2023-02-12,17164,2763.55,11.35,845,9.6,137,,Clear,Gym,Tired
45,1,2023-02-12,22868,2904.22,6.98,1076,4.7,162,Gym Workout,Snow,Gym,Tired
46,1,2023-02-13,1312,2105.17,2.07,527,1.3,179,,Fog,Gym,Neutral
47,1,2023-02-13,367,2352.36,9.14,921,5.1,85,Running,Fog,Other,Stressed
48,1,2023-02-13,10108,2632.77,15.41,433,0.7,167,Yoga,Clear,Gym,Stressed
49,1,2023-02-14,3272,1560.34,11.56,831,3.9,88,Swimming,Snow,Gym,Neutral
50,1,2023-02-17,18008,2705.64,15.78,354,1.7,128,Cycling,Fog,Park,Happy
51,1,2023-02-19,1224,3859.23,18.22,666,4.4,116,Running,Rain,Park,Happy
52,1,2023-02-21,26261,2729.9,2.05,473,4.9,124,Walking,Snow,Home,Happy
53,1,2023-02-21,3486,1601.34,3.21,1189,3.4,151,Yoga,Clear,Gym,Tired
54,1,2023-02-22,11058,2150.24,3.52,751,5.7,107,,Fog,Gym,Neutral
55,1,2023-02-25,19187,1966.51,8.15,552,2.5,151,Cycling,Fog,Other,Tired
56,1,2023-03-01,519,1721.25,4.0,894,8.5,76,Cycling,Rain,Gym,Tired
57,1,2023-03-02,7138,2338.4,2.19,941,1.8,151,Walking,Clear,Office,Neutral
58,1,2023-03-03,8540,3349.76,12.15,1065,6.2,114,Running,Clear,Other,Tired
59,1,2023-03-03,9118,3125.11,12.77,144,11.0,85,Gym Workout,Snow,Park,Stressed
60,1,2023-03-05,6081,2297.56,19.15,681,11.2,129,Running,Snow,Office,Stressed
61,1,2023-03-08,28972,2682.54,12.91,309,10.6,123,Walking,Clear,Park,Neutral
62,1,2023-03-08,1309,2348.5,7.59,1410,11.6,111,,Clear,Home,Happy
63,1,2023-03-09,1904,2146.91,16.23,664,11.4,105,Cycling,Rain,Park,Neutral
64,1,2023-03-09,18386,2743.84,5.33,419,3.6,91,Gym Workout,Snow,Park,Tired
65,1,2023-03-10,5201,2031.4,6.16,1096,7.0,164,,Rain,Home,Stressed
66,1,2023-03-11,29627,3793.93,2.21,247,8.8,122,Gym Workout,Rain,Other,Tired
67,1,2023-03-13,5500,3063.28,3.16,1076,9.1,66,,Rain,Gym,Neutral
68,1,2023-03-14,20756,3851.48,14.57,1242,7.0,172,Yoga,Rain,Park,Neutral
69,1,2023-03-15,3924,3213.21,10.75,45,0.2,157,Swimming,Snow,Office,Stressed
70,1,2023-03-15,6203,2632.8,1.81,295,11.8,84,Running,Clear,Park,Stressed
71,1,2023-03-17,21599,2491.02,13.39,958,10.5,159,Cycling,Rain,Gym,Happy
72,1,2023-03-17,29499,3350.15,14.01,342,11.9,158,Yoga,Clear,Gym,Neutral
73,1,2023-03-18,15516,3426.75,1.15,201,6.5,129,Cycling,Rain,Office,Neutral
74,1,2023-03-18,28392,2796.26,8.99,1273,10.9,114,Running,Snow,Office,Neutral
75,1,2023-03-18,28678,1644.26,5.93,1040,7.9,101,Swimming,Rain,Park,Happy
76,1,2023-03-19,1483,3177.75,17.14,916,11.9,168,Walking,Clear,Home,Neutral
77,1,2023-03-20,27736,2586.53,10.69,1248,10.6,149,Yoga,Clear,Park,Neutral
78,1,2023-03-21,14991,2852.61,3.16,868,1.5,74,,Snow,Other,Happy
79,1,2023-03-21,26243,2220.38,0.61,1078,4.7,80,,Snow,Other,Happy
80,1,2023-03-22,4199,3524.71,9.6,943,1.1,96,Running,Fog,Gym,Neutral
81,1,2023-03-22,5240,3407.44,2.49,432,8.4,162,Cycling,Fog,Park,Tired
82,1,2023-03-24,6874,3080.83,2.73,1350,3.4,71,Swimming,Clear,Gym,Happy
83,1,2023-03-25,10011,2641.52,8.56,882,1.4,117,Running,Snow,Park,Neutral
84,1,2023-03-26,4471,2626.99,1.68,641,10.5,116,Running,Rain,Park,Happy
85,1,2023-03-26,3510,3088.15,3.65,139,8.4,163,Swimming,Clear,Office,Neutral
86,1,2023-03-26,28313,2650.15,12.89,1069,6.1,120,,Rain,Home,Neutral
87,1,2023-03-31,29115,1984.28,0.73,1064,0.2,146,Yoga,Fog,Gym,Tired
88,1,2023-04-01,25690,2095.5,0.54,1389,2.5,178,Walking,Clear,Office,Tired
89,1,2023-04-02,16484,3244.12,8.4,1093,5.5,99,Running,Snow,Home,Tired
90,1,2023-04-03,10085,1706.96,12.5,265,2.4,177,Walking,Clear,Home,Happy
91,1,2023-04-03,3270,1958.58,9.69,149,11.2,87,Walking,Clear,Park,Stressed
92,1,2023-04-04,21013,1895.84,1.03,1410,4.2,67,Yoga,Clear,Other,Neutral
93,1,2023-04-06,11321,3788.08,5.41,719,4.5,121,Cycling,Clear,Office,Neutral
94,1,2023-04-06,6971,3841.46,1.46,185,9.4,80,Swimming,Snow,Other,Tired
95,1,2023-04-06,8659,3977.2,7.78,951,1.0,111,,Snow,Park,Neutral
96,1,2023-04-10,10772,2474.98,13.98,1082,9.4,64,Running,Fog,Home,Stressed
97,1,2023-04-10,29613,3027.02,6.1,1180,8.7,171,Cycling,Clear,Home,Neutral
98,1,2023-04-12,19426,3238.19,12.69,206,6.9,142,Swimming,Rain,Home,Tired
99,1,2023-04-12,8418,1711.39,10.87,692,2.6,109,,Snow,Home,Neutral
100,1,2023-04-14,5147,2624.03,5.42,1415,1.7,179,Gym Workout,Rain,Other,Neutral
101,1,2023-04-14,19519,2707.87,14.94,1382,8.9,141,Yoga,Rain,Home,Happy
102,1,2023-04-15,22277,2526.39,3.83,565,8.2,121,Yoga,Clear,Other,Happy
103,1,2023-04-16,1871,2162.87,12.34,582,6.0,142,Yoga,Rain,Office,Happy
104,1,2023-04-17,1007,1760.71,8.45,1288,2.1,105,Cycling,Rain,Home,Happy
105,1,2023-04-17,16308,1579.14,8.24,388,6.2,126,Cycling,Clear,Park,Neutral
106,1,2023-04-18,6457,3762.54,17.22,884,9.4,108,Running,Rain,Office,Stressed
107,1,2023-04-19,9986,3421.45,0.88,1191,4.1,70,Gym Workout,Clear,Office,Happy
108,1,2023-04-20,21518,3235.05,6.07,1308,0.8,87,Cycling,Clear,Park,Happy
109,1,2023-04-21,9628,2245.36,10.57,457,11.4,144,Gym Workout,Snow,Office,Stressed
110,1,2023-04-22,10552,2613.54,9.13,1406,5.5,132,,Snow,Gym,Happy
111,1,2023-04-23,28720,2139.62,12.66,746,5.8,146,Gym Workout,Rain,Park,Neutral
112,1,2023-04-23,2900,2706.19,15.25,523,11.3,106,Swimming,Rain,Office,Happy
113,1,2023-04-25,11386,2830.82,13.01,1096,6.2,137,Cycling,Fog,Gym,Neutral
114,1,2023-04-26,12880,1837.2,18.82,9,1.0,132,Walking,Rain,Other,Neutral
115,1,2023-04-26,11104,2512.18,0.16,589,8.4,175,Cycling,Fog,Gym,Stressed
116,1,2023-04-27,10723,3943.11,3.66,200,0.6,162,,Fog,Gym,Happy
117,1,2023-04-28,1124,2240.58,14.98,693,6.7,159,,Clear,Gym,Happy
118,1,2023-04-30,29677,2952.39,7.35,943,0.8,103,Swimming,Snow,Other,Happy
119,1,2023-05-01,8040,2327.41,0.55,1400,0.4,129,Yoga,Rain,Park,Happy
120,1,2023-05-01,29741,3355.77,12.46,870,11.0,114,Cycling,Snow,Park,Neutral
121,1,2023-05-05,18770,1521.05,11.98,169,10.0,101,Cycling,Rain,Office,Stressed
122,1,2023-05-06,22413,3908.09,3.65,1040,9.1,63,Running,Rain,Other,Tired
123,1,2023-05-08,10768,3549.68,10.51,665,3.1,144,,Rain,Park,Tired
124,1,2023-05-10,5765,3365.52,5.57,1186,4.6,143,Swimming,Clear,Office,Stressed
125,1,2023-05-11,17767,1705.81,18.51,963,0.7,80,Swimming,Clear,Office,Happy
126,1,2023-05-12,187,3998.29,15.85,124,8.6,92,Running,Snow,Gym,Tired
127,1,2023-05-12,26857,1737.62,10.15,289,2.8,116,Swimming,Snow,Park,Stressed
128,1,2023-05-13,26192,2441.33,1.18,383,9.7,111,Swimming,Snow,Gym,Neutral
129,1,2023-05-13,12470,3002.62,17.0,167,6.0,94,Cycling,Rain,Office,Tired
130,1,2023-05-13,14750,2545.91,15.7,893,5.2,103,Running,Fog,Other,Happy
131,1,2023-05-14,27189,3873.5,11.34,914,3.1,155,Walking,Clear,Office,Happy
132,1,2023-05-14,1725,3845.64,9.76,1330,7.5,96,Cycling,Fog,Home,Stressed
133,1,2023-05-14,19395,3794.87,11.11,749,1.3,176,Cycling,Clear,Park,Happy
134,1,2023-05-15,29048,3491.29,2.34,326,2.9,65,Swimming,Rain,Home,Happy
135,1,2023-05-16,16246,3704.2,9.26,1132,0.9,72,,Rain,Park,Neutral
136,1,2023-05-16,21714,3362.82,9.76,717,9.5,175,Yoga,Clear,Gym,Stressed
137,1,2023-05-16,8397,2784.14,7.4,703,2.3,159,Gym Workout,Snow,Office,Tired
138,1,2023-05-18,20043,1772.8,3.39,179,7.1,72,Walking,Clear,Office,Stressed
139,1,2023-05-19,18344,1695.56,9.0,1219,4.4,69,Running,Fog,Gym,Stressed
140,1,2023-05-20,1293,1905.97,10.78,98,8.5,178,Walking,Snow,Office,Neutral
141,1,2023-05-20,17468,2840.34,0.14,1013,11.7,88,Cycling,Snow,Other,Tired
142,1,2023-05-21,16818,2573.36,18.79,921,4.6,80,Running,Rain,Office,Neutral
143,1,2023-05-21,3923,3148.13,7.75,121,2.3,125,Gym Workout,Clear,Other,Tired
144,1,2023-05-22,17224,2612.78,6.42,1204,0.3,153,Gym Workout,Rain,Home,Neutral
145,1,2023-05-22,7505,3079.27,14.15,130,11.0,157,Walking,Fog,Gym,Happy
146,1,2023-05-24,69,1907.16,14.84,903,3.5,141,Walking,Clear,Office,Stressed
147,1,2023-05-25,24772,1729.33,15.76,497,8.5,99,Gym Workout,Fog,Other,Neutral
148,1,2023-05-26,23231,3724.74,7.59,773,3.8,61,Gym Workout,Clear,Park,Stressed
149,1,2023-05-26,4493,3133.06,7.46,576,10.6,137,Gym Workout,Clear,Office,Neutral
150,1,2023-05-27,13429,2278.26,8.97,1315,6.5,64,Cycling,Clear,Park,Happy
151,1,2023-06-02,29728,1531.15,2.11,644,1.2,134,Swimming,Rain,Office,Happy
152,1,2023-06-03,3596,3762.94,7.83,540,8.9,88,Running,Snow,Other,Neutral
153,1,2023-06-03,23726,3740.24,7.81,1083,9.0,154,,Snow,Home,Neutral
154,1,2023-06-04,24664,3410.32,8.05,1355,2.0,173,,Clear,Other,Stressed
155,1,2023-06-04,11389,2867.33,19.04,1314,6.8,169,Gym Workout,Clear,Other,Stressed
156,1,2023-06-05,12820,2090.0,5.31,789,5.0,146,Swimming,Fog,Gym,Stressed
157,1,2023-06-06,10010,2191.37,13.84,979,3.8,165,Cycling,Rain,Other,Tired
158,1,2023-06-09,5868,3498.84,11.19,246,7.4,167,,Rain,Home,Tired
159,1,2023-06-09,5096,2047.73,14.85,1047,4.3,85,,Fog,Home,Neutral
160,1,2023-06-10,23793,1842.55,13.19,192,4.6,105,Cycling,Fog,Park,Neutral
161,1,2023-06-13,4415,1516.86,13.21,1161,1.4,128,Swimming,Fog,Other,Tired
162,1,2023-06-14,12908,2312.58,19.86,746,7.2,160,Gym Workout,Snow,Park,Neutral
163,1,2023-06-14,5334,1689.92,13.7,10,6.1,104,Yoga,Rain,Gym,Happy
164,1,2023-06-15,25759,3341.9,2.84,520,3.9,128,,Clear,Office,Tired
165,1,2023-06-15,19636,2044.55,11.82,611,4.5,74,Cycling,Clear,Gym,Tired
166,1,2023-06-16,22053,3174.53,1.24,1056,4.7,85,Cycling,Snow,Gym,Stressed
167,1,2023-06-17,17615,1533.59,5.47,684,6.6,148,Running,Clear,Gym,Tired
168,1,2023-06-17,24972,3554.04,17.98,51,6.7,68,Walking,Fog,Home,Stressed
169,1,2023-06-18,2233,1642.91,19.55,1342,3.0,118,Gym Workout,Rain,Other,Happy
170,1,2023-06-21,27886,3448.04,17.31,113,2.6,83,Gym Workout,Snow,Home,Tired
171,1,2023-06-21,1412,2512.42,9.07,449,2.0,143,,Snow,Home,Stressed
172,1,2023-06-21,21101,3578.54,14.13,1362,10.1,142,Swimming,Snow,Park,Neutral
173,1,2023-06-22,14058,2411.7,6.24,417,2.3,68,,Fog,Home,Stressed
174,1,2023-06-22,20442,2990.16,4.96,78,1.9,117,Gym Workout,Rain,Other,Happy
175,1,2023-06-23,2162,3880.48,6.86,921,3.5,102,Cycling,Rain,Office,Neutral
176,1,2023-06-23,20374,3893.21,3.53,778,8.9,79,Gym Workout,Fog,Gym,Happy
177,1,2023-06-25,21672,3942.92,7.45,1392,8.7,142,Cycling,Fog,Gym,Stressed
178,1,2023-06-26,2293,2715.87,5.02,581,3.2,135,Running,Clear,Home,Happy
179,1,2023-06-27,29937,1688.51,5.02,1203,1.6,96,Swimming,Rain,Home,Neutral
180,1,2023-06-28,7572,2791.72,4.19,48,0.6,84,Yoga,Fog,Office,Neutral
181,1,2023-06-29,17627,1510.84,8.49,383,6.5,74,Yoga,Snow,Home,Happy
182,1,2023-07-02,20479,2862.58,7.8,456,11.8,82,Yoga,Snow,Gym,Happy
183,1,2023-07-02,16504,2002.8,19.45,449,0.1,117,Gym Workout,Clear,Other,Happy
184,1,2023-07-03,20910,1978.19,11.21,1009,0.4,176,Running,Rain,Home,Tired
185,1,2023-07-06,25506,3261.96,2.04,1051,3.4,99,Yoga,Rain,Gym,Happy
186,1,2023-07-06,5301,3925.8,13.02,976,11.4,171,Walking,Clear,Other,Stressed
187,1,2023-07-08,13784,2363.96,1.94,335,9.3,166,Swimming,Rain,Home,Happy
188,1,2023-07-13,25714,1891.43,18.87,1130,2.1,86,Yoga,Rain,Home,Neutral
189,1,2023-07-13,19469,1920.05,1.37,1010,2.8,76,Cycling,Rain,Other,Neutral
190,1,2023-07-14,2626,3866.82,15.0,122,4.0,137,Yoga,Clear,Gym,Stressed
191,1,2023-07-14,3729,2215.92,14.04,917,9.3,93,Cycling,Rain,Park,Stressed
192,1,2023-07-16,18056,2036.59,5.93,809,8.9,173,,Rain,Home,Happy
193,1,2023-07-17,29880,2214.78,2.55,375,0.8,169,,Rain,Park,Happy
194,1,2023-07-22,15026,3006.53,2.61,265,8.9,119,Cycling,Snow,Park,Neutral
195,1,2023-07-23,547,3023.74,11.77,1148,0.4,108,Running,Clear,Home,Happy
196,1,2023-07-24,16881,2798.31,13.09,738,8.1,158,Running,Clear,Gym,Stressed
197,1,2023-07-24,25120,3526.33,11.01,775,6.1,111,Gym Workout,Clear,Gym,Happy
198,1,2023-07-27,26950,3382.46,9.06,944,9.6,113,,Snow,Gym,Neutral
199,1,2023-07-28,16768,2296.42,17.3,1071,1.4,138,Gym Workout,Rain,Gym,Neutral
200,1,2023-07-28,23955,3985.49,9.65,853,6.6,70,,Snow,Park,Tired
201,1,2023-07-29,25356,2045.55,2.92,507,10.1,94,,Rain,Park,Neutral
202,1,2023-07-30,26864,3303.83,10.72,541,10.2,132,Gym Workout,Snow,Other,Tired
203,1,2023-07-31,20325,3709.96,1.94,846,1.0,79,Running,Snow,Park,Tired
204,1,2023-08-01,5829,3946.21,11.09,554,0.7,178,Swimming,Clear,Gym,Tired
205,1,2023-08-04,19997,2262.07,17.56,663,8.6,88,Swimming,Fog,Gym,Stressed
206,1,2023-08-05,25655,3982.53,11.1,1423,3.9,154,Gym Workout,Fog,Office,Happy
207,1,2023-08-07,23317,3953.15,13.31,510,7.7,173,Running,Rain,Gym,Tired
208,1,2023-08-07,1433,1743.48,13.72,184,7.9,143,,Rain,Gym,Tired
209,1,2023-08-08,7653,2555.66,7.35,241,10.1,149,Yoga,Fog,Office,Neutral
210,1,2023-08-09,24929,1997.07,19.41,10,7.0,91,,Rain,Park,Tired
211,1,2023-08-11,26149,2068.95,12.6,207,0.9,160,Yoga,Snow,Park,Stressed
212,1,2023-08-11,25446,2715.05,7.32,59,9.6,89,Cycling,Fog,Other,Happy
213,1,2023-08-13,22740,2734.04,17.5,404,0.7,177,Gym Workout,Fog,Office,Stressed
214,1,2023-08-13,13642,3199.06,1.35,1169,9.3,160,Yoga,Rain,Other,Happy
215,1,2023-08-15,13097,1627.09,11.67,1347,1.1,61,Walking,Rain,Gym,Stressed
216,1,2023-08-15,13697,1738.58,2.3,72,8.5,140,Walking,Clear,Park,Tired
217,1,2023-08-16,25568,3045.71,6.73,362,5.9,161,Cycling,Rain,Other,Happy
218,1,2023-08-17,29648,1895.06,12.42,281,1.7,101,,Snow,Gym,Neutral
219,1,2023-08-17,26165,1511.78,12.34,1156,7.7,141,Running,Fog,Home,Stressed
220,1,2023-08-18,16629,3490.12,13.27,679,0.9,139,Gym Workout,Fog,Other,Happy
221,1,2023-08-20,818,3058.83,16.49,1165,8.2,100,Yoga,Fog,Park,Happy
222,1,2023-08-20,20514,2269.43,15.23,1058,2.4,92,Gym Workout,Snow,Gym,Happy
223,1,2023-08-23,4356,2510.36,19.39,1377,8.9,86,Yoga,Clear,Home,Neutral
224,1,2023-08-24,12219,2197.38,17.09,1239,10.5,157,Yoga,Rain,Gym,Happy
225,1,2023-08-24,20867,2623.17,19.39,736,4.2,96,Swimming,Snow,Gym,Neutral
226,1,2023-08-25,18919,2609.14,4.73,706,2.5,156,Walking,Clear,Gym,Stressed
227,1,2023-08-27,26815,3978.81,4.38,969,1.0,99,Running,Fog,Home,Tired
228,1,2023-08-28,13425,3781.92,2.55,363,4.2,79,Running,Clear,Gym,Happy
229,1,2023-08-30,19129,2806.92,11.33,757,10.7,78,Cycling,Rain,Home,Neutral
230,1,2023-08-30,12088,3048.36,13.02,845,2.4,158,Running,Clear,Home,Happy
231,1,2023-08-31,4686,1706.31,13.25,949,6.8,153,Gym Workout,Rain,Gym,Tired
232,1,2023-08-31,14196,3933.0,0.65,22,0.4,114,Cycling,Fog,Gym,Neutral
233,1,2023-09-01,2146,2916.63,7.68,188,0.6,166,Yoga,Snow,Office,Happy
234,1,2023-09-01,18526,3627.71,10.23,614,5.1,163,Running,Fog,Home,Tired
235,1,2023-09-03,3063,2700.43,1.4,459,7.4,179,Cycling,Snow,Park,Happy
236,1,2023-09-03,16725,3986.27,10.41,831,5.8,97,Swimming,Snow,Gym,Happy
237,1,2023-09-03,7401,3221.65,2.38,1145,11.5,174,Cycling,Clear,Office,Neutral
238,1,2023-09-03,22435,3532.83,16.13,632,9.0,178,Yoga,Snow,Gym,Happy
239,1,2023-09-04,15956,1859.96,16.43,481,2.1,70,Walking,Clear,Other,Neutral
240,1,2023-09-06,18640,3268.1,6.13,1337,1.1,160,Cycling,Fog,Park,Stressed
241,1,2023-09-07,22156,2836.69,1.66,857,3.6,119,,Snow,Gym,Stressed
242,1,2023-09-07,23410,3763.48,0.04,1173,7.1,97,Yoga,Snow,Office,Neutral
243,1,2023-09-08,7145,3028.89,15.58,926,3.5,177,Yoga,Snow,Gym,Happy
244,1,2023-09-09,29236,3751.09,12.71,352,3.8,122,Gym Workout,Clear,Home,Stressed
245,1,2023-09-09,1494,2133.18,12.96,1184,6.4,102,Yoga,Snow,Home,Tired
246,1,2023-09-09,5985,1656.75,14.53,368,11.1,143,Gym Workout,Fog,Other,Neutral
247,1,2023-09-10,27806,2209.43,8.67,464,8.4,76,Running,Snow,Home,Neutral
248,1,2023-09-11,8212,1781.5,13.38,1132,7.5,65,Gym Workout,Snow,Park,Tired
249,1,2023-09-12,1767,2529.5,2.99,82,10.1,81,Running,Snow,Gym,Neutral
250,1,2023-09-12,21106,2865.56,15.8,742,9.7,168,Walking,Clear,Home,Happy
251,1,2023-09-14,10466,1980.47,18.79,658,5.0,98,Yoga,Clear,Office,Tired
252,1,2023-09-14,5279,2078.18,1.73,1248,11.4,69,Yoga,Rain,Gym,Happy
253,1,2023-09-14,488,2702.82,16.79,1293,9.5,104,Cycling,Fog,Home,Happy
254,1,2023-09-14,20756,2025.01,5.97,67,8.1,179,,Snow,Office,Stressed
255,1,2023-09-17,22263,2325.75,4.02,1329,5.6,164,Walking,Snow,Gym,Neutral
256,1,2023-09-17,10854,2018.95,16.83,914,10.6,151,Cycling,Fog,Other,Happy
257,1,2023-09-17,1630,2600.07,2.35,232,9.1,77,Gym Workout,Clear,Gym,Tired
258,1,2023-09-19,7261,1507.59,7.61,125,7.1,70,Yoga,Fog,Gym,Neutral
259,1,2023-09-20,29886,3888.34,2.77,172,7.0,171,Swimming,Snow,Gym,Happy
260,1,2023-09-21,4331,2306.9,9.59,683,2.2,144,Cycling,Rain,Park,Neutral
261,1,2023-09-21,18008,2767.42,9.73,367,6.3,78,Walking,Clear,Park,Neutral
262,1,2023-09-22,20198,3214.28,14.03,1238,8.7,139,Running,Clear,Gym,Tired
263,1,2023-09-22,11781,3570.46,11.64,990,11.4,137,Yoga,Fog,Office,Neutral
264,1,2023-09-26,29957,2778.11,5.65,1368,10.7,112,Walking,Snow,Office,Neutral
265,1,2023-09-27,15768,2627.3,19.63,1356,1.4,92,Gym Workout,Snow,Office,Neutral
266,1,2023-09-27,22621,2577.06,5.87,368,6.7,179,Swimming,Clear,Other,Happy
267,1,2023-09-27,29778,2502.96,0.29,1102,4.8,145,Running,Fog,Office,Happy
268,1,2023-09-29,17912,3845.57,16.39,890,0.7,115,,Fog,Home,Stressed
269,1,2023-09-30,25736,3201.5,19.6,1095,11.7,136,Gym Workout,Rain,Other,Neutral
270,1,2023-09-30,7583,2072.54,10.95,1434,6.5,175,Swimming,Clear,Gym,Stressed
271,1,2023-10-02,3929,2944.45,1.45,44,11.0,71,,Snow,Gym,Happy
272,1,2023-10-03,28815,2796.35,10.09,464,5.1,118,,Snow,Park,Neutral
273,1,2023-10-06,1928,1529.55,8.78,776,2.9,97,Walking,Clear,Other,Stressed
274,1,2023-10-07,24391,2434.32,6.69,945,1.8,173,Gym Workout,Rain,Office,Happy
275,1,2023-10-08,17237,2342.64,1.92,343,10.4,108,Swimming,Fog,Other,Tired
276,1,2023-10-08,16119,3312.71,16.61,18,3.5,98,Yoga,Snow,Gym,Happy
277,1,2023-10-08,15880,1512.24,18.13,189,2.4,163,Gym Workout,Clear,Home,Neutral
278,1,2023-10-08,5567,3379.85,5.35,913,8.3,127,Yoga,Fog,Office,Happy
279,1,2023-10-09,18147,3789.3,1.51,912,10.0,133,Cycling,Snow,Gym,Tired
280,1,2023-10-10,6023,1985.33,7.25,758,7.2,178,Cycling,Snow,Other,Stressed
281,1,2023-10-11,281,3330.08,14.12,252,7.1,172,Gym Workout,Clear,Park,Stressed
282,1,2023-10-12,9004,1896.16,11.68,666,11.0,62,Swimming,Clear,Other,Stressed
283,1,2023-10-15,22805,3456.93,19.32,772,2.2,68,Yoga,Snow,Park,Tired
284,1,2023-10-17,29594,1701.76,12.52,150,9.8,65,,Clear,Office,Happy
285,1,2023-10-17,2611,2877.22,17.2,553,2.7,75,Swimming,Clear,Office,Stressed
286,1,2023-10-18,12957,3648.16,16.98,1240,7.8,136,Cycling,Rain,Gym,Happy
287,1,2023-10-23,4099,2981.28,16.28,1210,11.3,103,Yoga,Rain,Park,Tired
288,1,2023-10-26,6325,1761.72,5.59,303,9.4,78,Gym Workout,Clear,Other,Neutral
289,1,2023-10-26,12022,1564.6,5.72,103,11.8,128,Walking,Rain,Park,Happy
290,1,2023-10-28,16544,3858.87,15.61,921,7.0,61,Yoga,Clear,Park,Neutral
291,1,2023-10-28,27177,3080.95,8.56,923,9.1,99,Swimming,Clear,Gym,Neutral
